scanner_version,target,resolved_ip,scan_type,started_at,duration_seconds,port,state,service,banner,reason
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,168,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,169,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,170,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,171,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,172,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,173,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,174,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,175,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,176,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,177,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,178,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,179,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,180,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,181,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,182,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,183,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,184,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,185,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,186,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,187,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,188,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,189,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,190,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,191,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,192,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,193,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,194,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,195,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,196,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,197,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,198,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,199,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,200,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,201,closed,unknown,,connection refused
